rollout_id,task_name,task_goal,video_filename,video_path,simulator,success_label,timestamp,additional_notes,video_url
test_act_dataset_20260321_161742_episode_11,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260321_161742_episode_11/rollout_agentview.mp4,sim,true,2026-07-26T15:21:49Z,,
test_act_dataset_20260321_161742_episode_12,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260321_161742_episode_12/rollout_agentview.mp4,sim,true,2026-07-26T15:21:53Z,,
test_act_dataset_20260321_161742_episode_13,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260321_161742_episode_13/rollout_agentview.mp4,sim,true,2026-07-26T15:21:56Z,,
test_act_dataset_20260321_161742_episode_8,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260321_161742_episode_8/rollout_agentview.mp4,sim,true,2026-07-26T15:21:58Z,,
test_act_dataset_20260321_161742_episode_9,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260321_161742_episode_9/rollout_agentview.mp4,sim,true,2026-07-26T15:22:00Z,,
test_act_dataset_20260321_170342_episode_2,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260321_170342_episode_2/rollout_agentview.mp4,sim,true,2026-07-26T15:22:02Z,,
test_act_dataset_20260321_170342_episode_4,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260321_170342_episode_4/rollout_agentview.mp4,sim,true,2026-07-26T15:22:05Z,,
test_act_dataset_20260321_170342_episode_5,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260321_170342_episode_5/rollout_agentview.mp4,sim,true,2026-07-26T15:22:07Z,,
test_act_dataset_20260322_204919_episode_0,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260322_204919_episode_0/rollout_agentview.mp4,sim,true,2026-07-26T15:22:09Z,,
test_act_dataset_20260322_204919_episode_1,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260322_204919_episode_1/rollout_agentview.mp4,sim,true,2026-07-26T15:22:12Z,,
test_act_dataset_20260322_204919_episode_2,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260322_204919_episode_2/rollout_agentview.mp4,sim,true,2026-07-26T15:22:14Z,,
test_act_dataset_20260322_204919_episode_3,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260322_204919_episode_3/rollout_agentview.mp4,sim,true,2026-07-26T15:22:18Z,,
test_act_dataset_20260322_204919_episode_4,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260322_204919_episode_4/rollout_agentview.mp4,sim,true,2026-07-26T15:22:22Z,,
test_act_dataset_20260322_204919_episode_5,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260322_204919_episode_5/rollout_agentview.mp4,sim,false,2026-07-26T15:22:25Z,,
test_act_dataset_20260324_181047_episode_0,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_181047_episode_0/rollout_agentview.mp4,sim,unsure,2026-07-26T15:22:29Z,,
test_act_dataset_20260324_181047_episode_1,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_181047_episode_1/rollout_agentview.mp4,sim,true,2026-07-26T15:22:33Z,,
test_act_dataset_20260324_181047_episode_2,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_181047_episode_2/rollout_agentview.mp4,sim,false,2026-07-26T15:22:36Z,,
test_act_dataset_20260324_181047_episode_3,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_181047_episode_3/rollout_agentview.mp4,sim,false,2026-07-26T15:22:39Z,,
test_act_dataset_20260324_181047_episode_4,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_181047_episode_4/rollout_agentview.mp4,sim,false,2026-07-26T15:22:41Z,,
test_act_dataset_20260324_181047_episode_5,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_181047_episode_5/rollout_agentview.mp4,sim,false,2026-07-26T15:22:44Z,,
test_act_dataset_20260324_181047_episode_6,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_181047_episode_6/rollout_agentview.mp4,sim,false,2026-07-26T15:22:45Z,,
test_act_dataset_20260324_183142_episode_0,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_0/rollout_agentview.mp4,sim,false,2026-07-26T15:22:48Z,,
test_act_dataset_20260324_183142_episode_1,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_1/rollout_agentview.mp4,sim,true,2026-07-26T15:22:52Z,,
test_act_dataset_20260324_183142_episode_11,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_11/rollout_agentview.mp4,sim,true,2026-07-26T15:22:56Z,,
test_act_dataset_20260324_183142_episode_12,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_12/rollout_agentview.mp4,sim,true,2026-07-26T15:23:01Z,,
test_act_dataset_20260324_183142_episode_13,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_13/rollout_agentview.mp4,sim,unsure,2026-07-26T15:23:05Z,,
test_act_dataset_20260324_183142_episode_14,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_14/rollout_agentview.mp4,sim,true,2026-07-26T15:23:08Z,,
test_act_dataset_20260324_183142_episode_15,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_15/rollout_agentview.mp4,sim,true,2026-07-26T15:23:12Z,,
test_act_dataset_20260324_183142_episode_16,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_16/rollout_agentview.mp4,sim,true,2026-07-26T15:23:16Z,,
test_act_dataset_20260324_183142_episode_17,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_17/rollout_agentview.mp4,sim,true,2026-07-26T15:23:19Z,,
test_act_dataset_20260324_183142_episode_18,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_18/rollout_agentview.mp4,sim,true,2026-07-26T15:23:23Z,,
test_act_dataset_20260324_183142_episode_19,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_19/rollout_agentview.mp4,sim,false,2026-07-26T15:23:27Z,,
test_act_dataset_20260324_183142_episode_2,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_2/rollout_agentview.mp4,sim,false,2026-07-26T15:23:30Z,,
test_act_dataset_20260324_183142_episode_20,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_20/rollout_agentview.mp4,sim,true,2026-07-26T15:23:33Z,,
test_act_dataset_20260324_183142_episode_3,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_3/rollout_agentview.mp4,sim,unsure,2026-07-26T15:23:36Z,,
test_act_dataset_20260324_183142_episode_4,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_4/rollout_agentview.mp4,sim,true,2026-07-26T15:23:40Z,,
test_act_dataset_20260324_183142_episode_5,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_5/rollout_agentview.mp4,sim,false,2026-07-26T15:23:43Z,,
test_act_dataset_20260324_183142_episode_6,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_6/rollout_agentview.mp4,sim,true,2026-07-26T15:23:46Z,,
test_act_dataset_20260324_183142_episode_7,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_7/rollout_agentview.mp4,sim,true,2026-07-26T15:23:50Z,,
test_act_dataset_20260324_183142_episode_8,test,test_goal,rollout_agentview.mp4,data/rollouts/test_act_dataset_20260324_183142_episode_8/rollout_agentview.mp4,sim,false,2026-07-26T15:23:53Z,,
